[0002|0.29] bce:  0.00165 | dice:  0.28997 | iou_background:  0.65379 | iou_ring:  0.62619 | iou_boundary:  0.55903 | iou_center:  0.00000 | lr:  0.00100
[0002|0.31] bce:  0.00172 | dice:  0.29393 | iou_background:  0.65206 | iou_ring:  0.62185 | iou_boundary:  0.55509 | iou_center:  0.00000 | lr:  0.00100
[0002|0.33] bce:  0.00172 | dice:  0.29504 | iou_background:  0.65091 | iou_ring:  0.62153 | iou_boundary:  0.55340 | iou_center:  0.00000 | lr:  0.00100
[0002|0.36] bce:  0.00173 | dice:  0.29515 | iou_background:  0.64291 | iou_ring:  0.62339 | iou_boundary:  0.55340 | iou_center:  0.00000 | lr:  0.00100
[0002|0.38] bce:  0.00173 | dice:  0.29386 | iou_background:  0.65135 | iou_ring:  0.61981 | iou_boundary:  0.55475 | iou_center:  0.00000 | lr:  0.00100
[0002|0.40] bce:  0.00181 | dice:  0.29117 | iou_background:  0.64572 | iou_ring:  0.62318 | iou_boundary:  0.55786 | iou_center:  0.00000 | lr:  0.00100
[0002|0.42] bce:  0.00187 | dice:  0.29322 | iou_background:  0.62811 | iou_ring:  0.62771 | iou_boundary:  0.55544 | iou_center:  0.00000 | lr:  0.00100
[0002|0.44] bce:  0.00183 | dice:  0.29399 | iou_background:  0.62615 | iou_ring:  0.62848 | iou_boundary:  0.55445 | iou_center:  0.00000 | lr:  0.00100
[0002|0.47] bce:  0.00188 | dice:  0.29382 | iou_background:  0.61260 | iou_ring:  0.63306 | iou_boundary:  0.55454 | iou_center:  0.00000 | lr:  0.00100
[0002|0.49] bce:  0.00190 | dice:  0.29570 | iou_background:  0.60973 | iou_ring:  0.63504 | iou_boundary:  0.55261 | iou_center:  0.00000 | lr:  0.00100
[0002|0.51] bce:  0.00191 | dice:  0.29553 | iou_background:  0.60001 | iou_ring:  0.63734 | iou_boundary:  0.55266 | iou_center:  0.00000 | lr:  0.00100
[0002|0.53] bce:  0.00198 | dice:  0.29618 | iou_background:  0.58989 | iou_ring:  0.64027 | iou_boundary:  0.55209 | iou_center:  0.00000 | lr:  0.00100
[0002|0.56] bce:  0.00198 | dice:  0.29504 | iou_background:  0.59561 | iou_ring:  0.63925 | iou_boundary:  0.55320 | iou_center:  0.00000 | lr:  0.00100
[0002|0.58] bce:  0.00195 | dice:  0.29476 | iou_background:  0.60037 | iou_ring:  0.63841 | iou_boundary:  0.55366 | iou_center:  0.00000 | lr:  0.00100
[0002|0.60] bce:  0.00192 | dice:  0.29307 | iou_background:  0.59908 | iou_ring:  0.64070 | iou_boundary:  0.55566 | iou_center:  0.00000 | lr:  0.00100
[0002|0.62] bce:  0.00190 | dice:  0.29215 | iou_background:  0.60441 | iou_ring:  0.63954 | iou_boundary:  0.55657 | iou_center:  0.00000 | lr:  0.00100
[0002|0.64] bce:  0.00188 | dice:  0.29314 | iou_background:  0.60408 | iou_ring:  0.64112 | iou_boundary:  0.55551 | iou_center:  0.00000 | lr:  0.00100
[0002|0.67] bce:  0.00185 | dice:  0.29186 | iou_background:  0.59366 | iou_ring:  0.64287 | iou_boundary:  0.55698 | iou_center:  0.00000 | lr:  0.00100
[0002|0.69] bce:  0.00183 | dice:  0.29173 | iou_background:  0.59149 | iou_ring:  0.64290 | iou_boundary:  0.55710 | iou_center:  0.00000 | lr:  0.00100
[0002|0.71] bce:  0.00182 | dice:  0.29097 | iou_background:  0.59379 | iou_ring:  0.63941 | iou_boundary:  0.55797 | iou_center:  0.00000 | lr:  0.00100
[0002|0.73] bce:  0.00182 | dice:  0.29197 | iou_background:  0.59183 | iou_ring:  0.63929 | iou_boundary:  0.55683 | iou_center:  0.00000 | lr:  0.00100
[0002|0.76] bce:  0.00179 | dice:  0.29033 | iou_background:  0.59025 | iou_ring:  0.64133 | iou_boundary:  0.55876 | iou_center:  0.00000 | lr:  0.00100
[0002|0.78] bce:  0.00177 | dice:  0.29085 | iou_background:  0.59768 | iou_ring:  0.63967 | iou_boundary:  0.55804 | iou_center:  0.00000 | lr:  0.00100
[0002|0.80] bce:  0.00178 | dice:  0.29162 | iou_background:  0.59758 | iou_ring:  0.63863 | iou_boundary:  0.55707 | iou_center:  0.00000 | lr:  0.00100
[0002|0.82] bce:  0.00179 | dice:  0.29186 | iou_background:  0.59745 | iou_ring:  0.63735 | iou_boundary:  0.55681 | iou_center:  0.00000 | lr:  0.00100
[0002|0.84] bce:  0.00181 | dice:  0.29161 | iou_background:  0.60116 | iou_ring:  0.63573 | iou_boundary:  0.55703 | iou_center:  0.00000 | lr:  0.00100
[0002|0.87] bce:  0.00179 | dice:  0.29044 | iou_background:  0.60301 | iou_ring:  0.63699 | iou_boundary:  0.55841 | iou_center:  0.00000 | lr:  0.00100
[0002|0.89] bce:  0.00183 | dice:  0.28982 | iou_background:  0.60198 | iou_ring:  0.63769 | iou_boundary:  0.55914 | iou_center:  0.00000 | lr:  0.00100
[0002|0.91] bce:  0.00181 | dice:  0.28984 | iou_background:  0.60362 | iou_ring:  0.63680 | iou_boundary:  0.55905 | iou_center:  0.00000 | lr:  0.00100
[0002|0.93] bce:  0.00180 | dice:  0.28940 | iou_background:  0.60514 | iou_ring:  0.63624 | iou_boundary:  0.55944 | iou_center:  0.00000 | lr:  0.00100
